Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Duchene Chiropractic Center,Chiropractic,T1,Sean,Sterling Heights,Clinton Township,MI,480352508,1,0,2026-03-19,119,Unknown
Eisman Chiropractic Clinic,Chiropractic,T1,Sean,Other/Metro,Detroit,MI,48235,1,1,2026-02-18,148,Unknown
Insight Pain Clinic - Warren,Pain Management,T1,Sean,Sterling Heights,Warren,Michigan,48091,1,6,2026-05-05,72,Unknown
Johr Chiropractic PLLC,Chiropractic,T1,Sean,Other/Metro,St. Clair Shores,Michigan,48081,1,1,2026-05-06,71,Unknown
Lukosavich Chiropractic Center,Chiropractic,T1,Sean,Other/Metro,,Michigan,48315,1,1,2026-05-06,71,Unknown
Madison Heights Chiropractic Center,Chiropractic,T1,Sean,Other/Metro,Madison Heights,MI,480712710,1,3,2026-03-25,113,Unknown
Pain Away Centers,Pain Management,T1,Sean,Other/Metro,,Michigan,48322,1,2,2026-05-20,57,Unknown
Shoreline chiropractic center,Chiropractic,T1,Sean,Other/Metro,St. Clair Shores,Michigan,48082,1,3,2026-05-06,71,Unknown
Spinal Recovery Center,Pain Management,T1,Sean,Sterling Heights,Warren,Michigan,48092,1,1,2026-04-16,91,Unknown
Sudad Louis MD,Neurology,T1,Sean,Sterling Heights,Sterling Heights,Michigan,48310,1,1,2026-04-28,79,Unknown
The Joint Chiropractic - Royal Oak,Chiropractic,T1,Sean,Southfield,Royal Oak,Michigan,48067,1,3,2026-05-12,65,Unknown
The Joint Chiropractic - Troy,Chiropractic,T1,Sean,Troy,Troy,Michigan,48083,1,4,2026-03-25,113,Unknown
Total Health Systems,Pain Management,T1,Sean,Other/Metro,St. Clair Shores,Michigan,48082,1,1,2026-05-06,71,Unknown
Tri-County Neurological Associates,Neurology,T1,Sean,Sterling Heights,Clinton Township,MI,480384300,1,1,2026-02-06,160,Unknown
"REHABILITATION PHYSICIANS, PC",Spine,T1,Roshelle Brockman,Livonia,NOVI,Michigan,MI 48377,1,0,2026-07-01,15,Unknown
UNIVERSITY PAIN CLINIC ASSOCIATES,Spine,T1,Roshelle Brockman,Other/Metro,Detroit,Michigan,48201,1,4,2026-02-24,142,Unknown
"WESTERN WAYNE PHYSICIANS, PLC",Spine,T1,Roshelle Brockman,Livonia,DEARBORN,Michigan,,1,3,2026-03-27,111,Unknown
Dedicated Senior Medical Center - Warren,Orthopedics,T2,Jasmine,Sterling Heights,Warren,Michigan,48091,17,116,2026-06-25,21,Unknown
DEDICATED SENIOR MEDICAL CENTER - Southfield,Orthopedics,T2,Jasmine,Southfield,Southfield,Michigan,48076,16,80,2026-06-25,21,Unknown
Michigan Auto Law,Attorney (WC/PI),T2,Kristen,Livonia,Farmington Hills,Michigan,48334,12,53,2026-04-29,78,Unknown
Elia & Ponto Law,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48075,11,22,2026-06-25,21,Unknown
Marko Law,Attorney (WC/PI),T2,Kristen,Other/Metro,Detroit,Michigan,48226,10,15,2026-03-26,112,Unknown
Sam Bernstein Law,Attorney (WC/PI),T2,Kristen,Livonia,Farmington Hills,Michigan,48334,10,19,2026-07-09,7,Unknown
Ciarlone Orthopedics,Orthopedics,T2,Coty,Troy,Rochester Hills,Michigan,48307,8,8,2026-07-15,1,Unknown
Beaumont Orthopedic Institute,Orthopedics,T2,Sean,Southfield,Royal Oak,MI,48073,8,8,2026-05-06,71,Unknown
Michigan Urgent Care - Livonia,Orthopedics,T2,Jasmine,Livonia,Livonia,Michigan,48152,7,21,2026-07-16,0,Unknown
Fenkell Sports Medicine,Orthopedics,T2,Coty,Troy,Troy,Michigan,48085,7,0,2026-06-12,34,Unknown
Kajy Law,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48075,6,7,2026-06-29,17,Unknown
Core Institute/Henry Ford Motor City Orthopedics & PT- Southfield,Orthopedics,T2,Jasmine,Southfield,Southfield,Michigan,48075,6,45,2026-07-09,7,Unknown
Michigan Orthopedic Surgeons- Southfield,Orthopedics,T2,Jasmine,Southfield,Southfield,Michigan,48033,6,23,2026-07-01,15,Unknown
Family Medicine,Orthopedics,T2,Coty,Other/Metro,Allen Park,Michigan,48101,6,21,2026-07-14,2,Unknown
Mark Sisson Law,Attorney (WC/PI),T2,Kristen,Other/Metro,Bingham Farms,Michigan,48025,5,11,2026-07-08,8,Unknown
Mike Morse Law Firm,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48075,5,125,2026-06-24,22,Unknown
Pryde Athletics and Physical Therapy,Physical Therapy,T2,Kristen,Other/Metro,Canton,Michigan,48188,5,28,2026-06-11,35,Unknown
Safir Law,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48034,5,9,2026-02-27,139,Unknown
SEVA Law,Attorney (WC/PI),T2,Kristen,Troy,Troy,Michigan,48084,5,7,2026-05-02,75,Unknown
Victor Valentino Law,Attorney (WC/PI),T2,Kristen,Other/Metro,,Michigan,48302,5,5,2026-05-15,62,Unknown
CANTON URGENT CARE,Orthopedics,T2,Jasmine,Other/Metro,Canton,Michigan,48187,5,5,2026-07-15,1,Unknown
DMC SPORTS MEDICINE NOVI,Sports Medicine,T2,Jasmine,Livonia,NOVI,MI,48377,5,21,2026-06-24,22,Unknown
Michigan Orthopedic Surgeons - Novi,Orthopedics,T2,Jasmine,Livonia,Novi,Michigan,48374,5,19,2026-07-10,6,Unknown
Newland Medical Associates (rheumatology),Rheumatology,T2,Jasmine,Livonia,Novi,Michigan,48377,5,5,2026-06-24,22,Unknown
Team Rehabilitation physical therapy,Physical Therapy,T2,Jasmine,Livonia,Livonia,Michigan,48152,5,24,2026-07-16,0,Unknown
Trinity IHA Orthopedics - Schoolcraft,Orthopedics,T2,Jasmine,Livonia,Livonia,Michigan,48152,5,17,2026-07-16,0,Unknown
Trinity URGENT CARE CANTON,Orthopedics,T2,Jasmine,Other/Metro,Canton,Michigan,48188,5,120,2026-07-15,1,Unknown
DMC Orthopedics & Sports Medicine - Warren,Sports Medicine,T2,Coty,Other/Metro,Sterling Heihhts,MI,48312,5,40,2026-06-26,20,Unknown
Greater Michigan Orthopedics and Sports Medicine - Warren,Orthopedics,T2,Coty,Sterling Heights,Warren,Michigan,48088,5,10,2026-06-01,45,Unknown
"Julie Henry, MD",Orthopedics,T2,Coty,Sterling Heights,Warren,Michigan,48088,5,5,2026-06-18,28,Unknown
Stonebridge Orthopedics,Orthopedics,T2,Coty,Other/Metro,Shelby Township,Michigan,48315,5,25,2026-07-07,9,Unknown
Michigan Knee and Hip - Troy,Orthopedics,T2,Sean,Troy,Troy,Michigan,48085,5,21,2026-04-22,85,Unknown
Michigan Orthopedic Surgeons - Troy,Orthopedics,T2,Sean,Troy,Troy,Michigan,48098,5,20,2026-05-06,71,Unknown
Michigan Surgery Specialists,Orthopedics,T2,Sean,Sterling Heights,Warren,Michigan,48093,5,9,2026-07-07,9,Unknown
Michigan Surgery Specialists - Auburn Hills,Orthopedics,T2,Sean,Troy,Auburn Hills,Michigan,48326,5,25,2026-06-02,44,Unknown
AttyMike,Attorney (WC/PI),T2,Kristen,Troy,Troy,Michigan,48083,4,4,2026-04-29,78,Unknown
Pryde Athletics and Physical Therapy,Physical Therapy,T2,Kristen,Other/Metro,Northville,Michigan,48168,4,0,2026-06-11,35,Unknown
Stempien Law,Attorney (WC/PI),T2,Kristen,Livonia,Livonia,Michigan,48152,4,6,2026-06-30,16,Unknown
Team Rehabilitation  - Washington,Physical Therapy,T2,Kristen,Other/Metro,Washington,Michigan,48095,4,19,2026-06-25,21,Unknown
Wigod & Falzon,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48034,4,24,2026-05-29,48,Unknown
ATI,Physical Therapy,T2,Jasmine,Livonia,Livonia,Michigan,48150,4,12,2026-07-08,8,Unknown
BEAUMONT URGENT CARE BY WELLSTREET,Orthopedics,T2,Jasmine,Livonia,Dearborn,Michigan,48124,4,8,2026-06-11,35,Unknown
Bluestone PT/OT/ST,Physical Therapy,T2,Jasmine,Livonia,Livonia,Michigan,48150,4,16,2026-06-26,20,Unknown
"CARSON, DARCELLE M, MEDICAL GROUP",Orthopedics,T2,Jasmine,Livonia,Livonia,Michigan,48150,4,3,2026-06-09,37,Unknown
EASTPOINTE URGENT CARE,Orthopedics,T2,Jasmine,Other/Metro,EASTPOINTE,Michigan,,4,4,2026-05-12,65,Unknown
Libra Physical Therapy,Physical Therapy,T2,Jasmine,Other/Metro,Canton,Michigan,48187,4,0,2026-07-06,10,Unknown
MICHIGAN ORTHOPEDIC SPECIALISTS - Farmington Hills,Orthopedics,T2,Jasmine,Livonia,FARMINGTON HILLS,MI,48336,4,7,2026-07-02,14,Unknown
NORLIVO INTERNAL MEDICINE,Orthopedics,T2,Jasmine,Livonia,Livonia,Michigan,48152,4,8,2026-06-09,37,Unknown
Oakland Rehabilitation Associates,Physical Therapy,T2,Jasmine,Livonia,Novi,MI,48375-1878,4,4,2026-07-15,1,Unknown
ORTHOPEDIC INSTITUTE OF MICHIGAN,Orthopedics,T2,Jasmine,Livonia,LIVONIA,MI,48152,4,16,2026-07-08,8,Unknown
"ORTHOPEDIC SURGERY SPECIALISTS, PLLC",Orthopedics,T2,Jasmine,Livonia,NOVI,MI,48375,4,8,2026-07-10,6,Unknown
Plymouth urgent care walk-in clinic,Orthopedics,T2,Jasmine,Other/Metro,Plymouth,Michigan,48170,4,4,2026-07-13,3,Unknown
SOUTH HURON URGENT CARE (CAT 3),Orthopedics,T2,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,4,8,2026-06-08,38,Unknown
THE PILOT DOCTORS,Orthopedics,T2,Jasmine,Other/Metro,Plymouth,Michigan,48170,4,8,2026-07-13,3,Unknown
Trinity IHA Orthopedics - West Arbor,Orthopedics,T2,Jasmine,Other/Metro,ANN ARBOR,MI,48103,4,16,2026-07-06,10,Unknown
TRINITY IHA RHEUMATOLOGY - WESTARBOR,Rheumatology,T2,Jasmine,Other/Metro,Ann Arbor,Michigan,48103,4,22,2026-07-06,10,Unknown
Associated Orthopedists of Detroit-Shelby Township,Orthopedics,T2,Coty,Other/Metro,Shelby Township,Michigan,48315,4,36,2026-07-07,9,Unknown
Beacon Orthopedics of Michigan - Livonia,Orthopedics,T2,Coty,Livonia,Livonia,Michigan,48152,4,8,2026-05-08,69,Unknown
GREAT LAKES ORTHOPAEDICS,Orthopedics,T2,Coty,Other/Metro,GARDEN CITY,MI,48135,4,8,2026-07-14,2,Unknown
MHP Orthopedics - Madison Heights,Orthopedics,T2,Coty,Other/Metro,Madison Heights,Michigan,48071,4,12,2026-06-01,45,Unknown
Michigan Surgery Specialists  - Roseville,Orthopedics,T2,Coty,Other/Metro,Roseville,Michigan,48066,4,8,2026-07-07,9,Unknown
Michigan Surgery Specialists - Shelby Township,Orthopedics,T2,Coty,Other/Metro,Shelby Township,Michigan,48315,4,0,2026-07-07,9,Unknown
Motor City Ortho - Howell,Orthopedics,T2,Coty,Other/Metro,Howell,Michigan,48843,4,0,2026-07-16,0,Unknown
Poley Sports Medicine,Orthopedics,T2,Coty,Troy,Rochester Hills,Michigan,48307,4,4,2026-06-23,23,Unknown
Premier Orthopedics,Orthopedics,T2,Coty,Livonia,Dearborn,Michigan,48126,4,8,2026-07-14,2,Unknown
Specialists in Spine Surgery - Garden City,Orthopedics,T2,Coty,Other/Metro,Garden City,Michigan,48135,4,8,2026-07-14,2,Unknown
University Orthopedic Specialists,Orthopedics,T2,Coty,Troy,Rochester,MI,48307,4,56,2026-07-06,10,Unknown
Arthritis and Internal Medicine,Rheumatology,T2,Sean,Sterling Heights,Sterling Heights,Michigan,48310,4,4,2026-06-05,41,Unknown
Center for Advanced Orthopedics,Orthopedics,T2,Sean,Troy,Auburn Hills,Michigan,48326,4,59,2026-05-15,62,Unknown
Institute for Athletic Medicine,Orthopedics,T2,Sean,Troy,Auburn Hills,Michigan,48326,4,8,2026-05-22,55,Unknown
Michigan Orthopedic Surgeons - Royal Oak,Orthopedics,T2,Sean,Southfield,Royal Oak,MI,480730980,4,13,2026-05-06,71,Unknown
Athlete Republic - Shelby Township,Sports Medicine,T2,Kristen,Other/Metro,Shelby Township,Michigan,48315,3,6,2026-06-22,24,Unknown
Christensen Law,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48033,3,3,2026-03-17,121,Unknown
Femminineo Law,Attorney (WC/PI),T2,Kristen,Other/Metro,Mount Clemens,Michigan,48043,3,6,2026-04-09,98,Unknown
Fran Murphy Law,Attorney (WC/PI),T2,Kristen,Other/Metro,St. Clair Shores,Michigan,48081,3,3,2026-05-28,49,Unknown
Henry Ford Orthopedics & Sports Medicine - Chesterfield,Orthopedics,T2,Kristen,Other/Metro,New Baltimore,Michigan,48047,3,12,2026-06-09,37,Unknown
Ivy Rebab for Kids,Physical Therapy,T2,Kristen,Livonia,Livonia,Michigan,48150,3,9,2026-06-29,17,Unknown
Ivy Rehab - Farmington,Physical Therapy,T2,Kristen,Livonia,Farmington,Michigan,48336,3,3,2026-06-08,38,Unknown
Ivy Rehab - Rochester Hills,Physical Therapy,T2,Kristen,Troy,Rochester Hills,Michigan,48307,3,3,2026-06-23,23,Unknown
"Liss, Shapero & Mitnick",Attorney (WC/PI),T2,Kristen,Southfield,Berkley,Michigan,48072,3,6,2026-06-25,21,Unknown
Luxon and Zang,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48034,3,3,2026-06-18,28,Unknown
Metropolitan Orthopedic Associates,Orthopedics,T2,Kristen,Other/Metro,Grosse Pointe,Michigan,48230,3,6,2026-07-07,9,Unknown
Michigan Rheumatology Port Huron,Rheumatology,T2,Kristen,Port Huron,Port Huron,Michigan,48060,3,6,2026-06-25,21,Unknown
Neil King Physical Therapy,Physical Therapy,T2,Kristen,Troy,Rochester Hills,MI,48307-4103,3,57,2026-06-08,38,Unknown
"NORTHVILLE PHYSICAL REHABILITATION, PC",Physical Therapy,T2,Kristen,Other/Metro,NORTHVILLE,Michigan,MI 48167,3,9,2026-06-04,42,Unknown
Plymouth PT,Physical Therapy,T2,Kristen,Other/Metro,Plymouth,Michigan,48170,3,15,2026-06-04,42,Unknown
Primal Recovery and PT,Physical Therapy,T2,Kristen,Livonia,Livonia,Michigan,48150,3,6,2026-06-30,16,Unknown
Ross Law,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48034,3,3,2026-05-29,48,Unknown
Souva PT and Performance,Physical Therapy,T2,Kristen,Other/Metro,,Michigan,48316,3,3,2026-06-22,24,Unknown
Steinberg Law Firm,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48034,3,3,2026-04-02,105,Unknown
Team Rehabilitation,Physical Therapy,T2,Kristen,Other/Metro,Northville,Michigan,48167,3,9,2026-06-04,42,Unknown
All-Pro Physical Therapy,Physical Therapy,T2,Jasmine,Other/Metro,Canton,Michigan,48187,3,6,2026-06-02,44,Unknown
Corwell health orthopedics Canton,Orthopedics,T2,Jasmine,Other/Metro,Canton,Michigan,48187,3,9,2026-06-02,44,Unknown
"DEARBORN FAMILY CLINIC, PC",Orthopedics,T2,Jasmine,Livonia,Dearborn,Michigan,48124,3,18,2026-04-20,87,Unknown
Doctors of physical therapy and hand therapy,Physical Therapy,T2,Jasmine,Other/Metro,Brighton,Michigan,48114,3,9,2026-06-05,41,Unknown
Ethos Physical Therapy,Physical Therapy,T2,Jasmine,Other/Metro,Plymouth,Michigan,48170,3,13,2026-07-13,3,Unknown
Henry Ford Athletic Medicine - Novi (relevance?),Sports Medicine,T2,Jasmine,Livonia,Novi,Michigan,48377,3,21,2026-06-24,22,Unknown
Henry Ford Rheumatology - Novi (relocated),Rheumatology,T2,Jasmine,Livonia,Novi,Michigan,48377,3,9,2026-06-24,22,Unknown
IHA ORTHOPAEDIC SURGERY ASSOCIATES - CANTON,Orthopedics,T2,Jasmine,Other/Metro,CANTON,MI,48188,3,12,2026-06-02,44,Unknown
Jeffrey T. Najor Internal Medicine,Orthopedics,T2,Jasmine,Southfield,Southfield,Michigan,48033,3,0,2026-07-01,15,Unknown
LIVINGSTON MEDICAL CENTER,Orthopedics,T2,Jasmine,Other/Metro,Brighton,Michigan,48116,3,7,2026-06-05,41,Unknown
Meridian Rehab,Physical Therapy,T2,Jasmine,Other/Metro,Garden City,Michigan,48135,3,6,2026-06-15,31,Unknown
MI Express Urgent Care,Orthopedics,T2,Jasmine,Other/Metro,Ann Arbor,Michigan,48103,3,3,2026-06-11,35,Unknown
Michigan Orthopedic Specialists,Orthopedics,T2,Jasmine,Other/Metro,Canton,Michigan,48187,3,9,2026-07-02,14,Unknown
Plymouth physical therapy services,Physical Therapy,T2,Jasmine,Other/Metro,Garden City,Michigan,48135,3,27,2026-04-23,84,Unknown
Trinity Health Orthopedic group-Ypsilanti,Orthopedics,T2,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,78,2026-06-30,16,Unknown
Trinity IHA Pediatrics - Arbor Park,Orthopedics,T2,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,33,2026-05-18,59,Unknown
UNIVERSITY OF MICHIGAN YPSILANTI HEALTH CENTER,Orthopedics,T2,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,3,15,2026-07-07,9,Unknown
Urgent Care (may be closed),Orthopedics,T2,Jasmine,Livonia,Dearborn,Michigan,48124,3,6,2026-06-11,35,Unknown
VAN BUREN URGENT CARE,Orthopedics,T2,Jasmine,Other/Metro,Belleville,Michigan,48111,3,3,2026-05-28,49,Unknown
ANDERSON SPORTS MEDICINE,Orthopedics,T2,Coty,Other/Metro,Bingham Farms,Michigan,48025,3,12,2026-07-08,8,Unknown
Beaumont Rheumatology Associates,Rheumatology,T2,Coty,Livonia,Farmington Hills,Michigan,48336,3,6,2026-07-08,8,Unknown
Dennis G Kelly DO,Orthopedics,T2,Coty,Other/Metro,Madison Heights,MI,480713491,3,2,2026-05-01,76,Unknown
Motor City Orthopedics - Warren,Orthopedics,T2,Coty,Sterling Heights,Warren,Michigan,48093,3,12,2026-05-05,72,Unknown
"TRI COUNTY ORTHOPEDICS, PC",Orthopedics,T2,Coty,Livonia,FARMINGTON HILLS,MI,48336,3,6,2026-07-08,8,Unknown
Michigan Orthopedic Surgeons - Kirts Blvd,Orthopedics,T2,Sean,Troy,Troy,Michigan,480844851,3,13,2026-05-06,71,Past due
MICHIGAN ORTHOPEDIC SPECIALISTS,Orthopedics,T2,Roshelle Brockman,Livonia,DEARBORN,MI,48124,3,16,2026-07-02,14,Unknown
Applebaum & Stone,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48076,2,4,2026-03-16,122,Unknown
Arthritis Specialist of Michigan,Rheumatology,T2,Kristen,Southfield,Royal Oak,Michigan,48073,2,4,2026-05-21,56,Unknown
Athlete Lab,Sports Medicine,T2,Kristen,Livonia,Farmington Hills,Michigan,48335,2,6,2026-05-11,66,Unknown
Athletico Physical Therapy - Canton,Physical Therapy,T2,Kristen,Other/Metro,,Michigan,48187,2,4,2026-05-20,57,Unknown
DMC Orthopedics - Commerce Township,Orthopedics,T2,Kristen,Other/Metro,,Michigan,48382,2,6,2026-07-07,9,Unknown
Draugelis and Draugelis,Attorney (WC/PI),T2,Kristen,Other/Metro,St. Clair Shores,Michigan,48080,2,8,2026-07-09,7,Unknown
Giroux and Pappas Law,Attorney (WC/PI),T2,Kristen,Livonia,Farmington Hills,Michigan,48334,2,2,2026-05-28,49,Unknown
Ivy Rehab - Clinton Township,Physical Therapy,T2,Kristen,Other/Metro,,Michigan,48035,2,2,2026-06-15,31,Unknown
Ivy Rehab - Livonia,Physical Therapy,T2,Kristen,Livonia,Livonia,Michigan,48150,2,2,2026-06-29,17,Unknown
Ivy Rehab - Novi,Physical Therapy,T2,Kristen,Livonia,Novi,Michigan,48377,2,3,2026-06-01,45,Unknown
Limitless Physical Therapy and Performance,Physical Therapy,T2,Kristen,Troy,Rochester,Michigan,48307,2,6,2026-06-10,36,Unknown
Morgan and Morgan,Attorney (WC/PI),T2,Kristen,Other/Metro,Detroit,Michigan,48226,2,2,2026-05-14,63,Unknown
Overhead Athletic,Sports Medicine,T2,Kristen,Livonia,Farmington Hills,Michigan,48335,2,4,2026-05-11,66,Unknown
Performance Edge Physical Therapy,Physical Therapy,T2,Kristen,Livonia,Livonia,Michigan,48150,2,2,2026-06-30,16,Unknown
Associated Rheumatology Consultants,Rheumatology,T2,Jasmine,Livonia,Farmington Hills,Michigan,48334,2,8,2026-03-09,129,Unknown
ATI PHYSICAL THERAPY,Physical Therapy,T2,Jasmine,Other/Metro,Brighton,Michigan,48116,2,2,2026-04-14,93,Unknown
CORNER HEALTH CENTER (Medicaid),Orthopedics,T2,Jasmine,Other/Metro,YPSILANTI,Michigan,48197,2,10,2026-06-18,28,Unknown
Plymouth Physical Thearapy Specialists of Brighton,Physical Therapy,T2,Jasmine,Other/Metro,Brighton,Michigan,48116,2,6,2026-04-14,93,Unknown
Plymouth physical therapy specialist,Physical Therapy,T2,Jasmine,Other/Metro,Ann Arbor,MI,48104-4250,2,8,2026-04-15,92,Unknown
Roberts Orthopedic Services,Orthopedics,T2,Jasmine,Southfield,Southfield,Michigan,48034,2,4,2026-06-30,16,Unknown
Team Rehabilitation Sg LLC,Physical Therapy,T2,Jasmine,Other/Metro,Southgate,MI,48195-2689,2,8,2026-04-22,85,Unknown
WATCH US GROW PEDIATRICS,Orthopedics,T2,Jasmine,Other/Metro,Trenton,Michigan,48183,2,10,2026-03-17,121,Unknown
Associated Orthopedists of Detroit-St Clair Shores,Orthopedics,T2,Coty,Other/Metro,St. Clair Shores,Michigan,48080,2,4,2026-06-18,28,Unknown
Center for Orthopedic Surgery,Orthopedics,T2,Coty,Sterling Heights,Clinton Township,Michigan,48036,2,6,2026-03-26,112,Unknown
Core Institute - Brighton,Orthopedics,T2,Coty,Other/Metro,Brighton,Michigan,48114,2,6,2026-04-14,93,Unknown
Emergency Medicine Specialists (of TeamHealth),ER,T2,Coty,Sterling Heights,Macomb,Michigan,48044,2,0,2026-04-15,92,Unknown
Michigan Center For Orthopedics,Orthopedics,T2,Coty,Other/Metro,Clarkston,MI,48346,2,0,2026-06-08,38,Unknown
MOTOR CITY ORTHOPEDICS - Novi,Orthopedics,T2,Coty,Livonia,NOVI,MI,48374,2,24,2026-06-22,24,Unknown
Movement Orthopedics,Orthopedics,T2,Coty,Sterling Heights,Clinton Township,Michigan,48038,2,6,2026-06-16,30,Unknown
Orthopedic Surgery of Macomb,Orthopedics,T2,Coty,Sterling Heights,Clinton Township,Michigan,48038,2,4,2026-07-10,6,Unknown
St Clair Orthpaedics & Sports Medicine - Macomb,Orthopedics,T2,Coty,Sterling Heights,Macomb,Michigan,48042,2,12,2026-05-06,71,Unknown
Team Rehab,Physical Therapy,T2,Coty,Other/Metro,Bingham Farms,Michigan,48025,2,8,2026-05-12,65,Unknown
Henry Ford Medical Center - Lakeside,Orthopedics,T2,Sean,Sterling Heights,Sterling Heights,MI,48313,2,16,2026-03-31,107,Unknown
St Clair Orthopaedics & Sports Medicine - St Clair Shores,Orthopedics,T2,Sean,Other/Metro,Saint Clair Shores,MI,480801186,2,10,2026-05-06,71,Unknown
Athletico - Rochester Hills,Physical Therapy,T2,Kristen,Troy,Rochester Hills,Michigan,48307,1,1,2026-05-18,59,Unknown
Azzo Law,Attorney (WC/PI),T2,Kristen,Troy,Birmingham,Michigan,48009,1,1,2026-06-17,29,Unknown
Black Law,Attorney (WC/PI),T2,Kristen,Port Huron,Port Huron,Michigan,48060,1,1,2026-01-23,174,Unknown
Empower Physical Therapy and Fitness,Physical Therapy,T2,Kristen,Other/Metro,,Michigan,48038,1,2,2026-06-15,31,Unknown
Hamo Law,Attorney (WC/PI),T2,Kristen,Other/Metro,Flint,Michigan,48502,1,2,2026-06-24,22,Unknown
MVPT,Physical Therapy,T2,Kristen,Other/Metro,Bloomfield Hills,Michigan,48302,1,3,2026-01-20,177,Unknown
Ross Gilders Law,Attorney (WC/PI),T2,Kristen,Southfield,Royal Oak,Michigan,48067,1,2,2026-04-02,105,Unknown
Team Rehab - SMA Bloomfield Hills,Physical Therapy,T2,Kristen,Other/Metro,,Michigan,48304,1,6,2026-05-06,71,Unknown
Top Dog Law,Attorney (WC/PI),T2,Kristen,Other/Metro,Detroit,Michigan,48226,1,0,2026-05-06,71,Unknown
Vanstone Injury Law,Attorney (WC/PI),T2,Kristen,Other/Metro,,Michigan,48322,1,4,2026-02-27,139,Unknown
Whiting Law,Attorney (WC/PI),T2,Kristen,Southfield,Southfield,Michigan,48034,1,2,2026-01-21,176,Unknown
ATI THERAPY,Physical Therapy,T2,Jasmine,Other/Metro,Van Buren Township,Michigan,48111,1,3,2026-03-09,129,Unknown
SPECIALISTS IN SPINE SURGERY - Farmington Hills,Orthopedics,T2,Jasmine,Livonia,FARMINGTON HILLS,MI,48336,1,2,2026-02-12,154,Unknown
WOODHAVEN PEDIATRICS,Orthopedics,T2,Jasmine,Other/Metro,Woodhaven,Michigan,48183,1,6,2026-01-29,168,Unknown
ARTHRITIS PHYSICIANS - Sterling Heights,Rheumatology,T2,Coty,Sterling Heights,Sterling Heights,Michigan,48314,1,0,2026-03-04,134,Unknown
Eastside Surgical Associates,Orthopedics,T2,Coty,Other/Metro,New Baltimore,Michigan,48047,1,2,2026-05-07,70,Unknown
Health Care Team PC,Physical Therapy,T2,Coty,Troy,Troy,MI,48084-7067,1,0,2026-04-13,94,Unknown
Healthquest,Physical Therapy,T2,Coty,Sterling Heights,Clinton Township,MI,48036-2362,1,0,2026-03-26,112,Unknown
INTEGROWTH ORTHOPEDIC SPECIALISTS,Orthopedics,T2,Coty,Livonia,NOVI,MI,48374,1,0,2026-06-22,24,Unknown
Lederman Kwartowitz - Brighton,Orthopedics,T2,Coty,Other/Metro,Brighton,Michigan,48116,1,2,2026-02-11,155,Unknown
Marina Physical Therapy LLC,Physical Therapy,T2,Coty,Troy,Rochester,Michigan,48307,1,0,2026-03-17,121,Unknown
METRO RHEUMATOLOGY,Rheumatology,T2,Coty,Livonia,Westland,Michigan,48186,1,1,2026-05-29,48,Unknown
Michigan Brain & Spine - Warren,Pain Management,T2,Coty,Sterling Heights,Warren,Michigan,48093,1,6,2026-01-15,182,Unknown
Oppenheimer Spine & Pain Clinic,Orthopedics,T2,Coty,Sterling Heights,Warren,Michigan,48092,1,1,2026-03-10,128,Unknown
Osman Spine Clinic,Orthopedics,T2,Coty,Sterling Heights,Warren,Michigan,48092,1,1,2026-03-10,128,Unknown
Shenandoah Health Center CLOSED,Orthopedics,T2,Coty,Other/Metro,Clawson,Michigan,48017,1,2,2026-02-26,140,Unknown
Southeast Michigan Center for Orthopedics - Rochester Hlls,Orthopedics,T2,Coty,Troy,Rochester Hills,Michigan,48307,1,2,2026-02-23,143,Unknown
