Account/Practice,Category,Tier,Assigned PL,Hub Territory,City,State,Zip,2026 Visit-Days,2026 People Touches,Last Visit,Days Since Last,Frequency Status
Steven Schechter MD P.C.,Neurology,T1,Kristen,Other/Metro,West Bloomfield,MI,48322,2,2,2026-05-07,70,Unknown
Adult Medicine & Pediatrics at East Ann Arbor Health and Geriatrics Center,Spine,T1,Jasmine,Other/Metro,Ann Arbor,Michigan,48105,2,14,2026-04-15,92,Unknown
Applied modern health chiropractic????,Chiropractic,T1,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,2,0,2026-05-06,71,Unknown
BRYANT PRIMARY CARE Updated,Pain Management,T1,Jasmine,Livonia,DEARBORN,Michigan,48126,2,2,2026-04-02,105,Unknown
Duncan Chiropractic Group,Chiropractic,T1,Jasmine,Other/Metro,Brighton,Michigan,48114,2,12,2026-04-14,93,Unknown
F. Ali M.D. PLLC,Spine,T1,Jasmine,Livonia,Dearborn,Michigan,48124,2,2,2026-04-20,87,Unknown
IHA ARBOR PARK PRIMARY CARE,Pain Management,T1,Jasmine,Other/Metro,Ypsilanti,Michigan,48197,2,8,2026-03-09,129,Unknown
Integrative Healthcare Providers,Pain Management,T1,Jasmine,Other/Metro,Ann Arbor,Michigan,48104,2,11,2026-04-03,104,Unknown
Livingston Chiropractic,Chiropractic,T1,Jasmine,Other/Metro,Brighton,Michigan,48116,2,2,2026-04-14,93,Unknown
MANOR MEDICAL CENTER,Pain Management,T1,Jasmine,Livonia,DEARBORN,Michigan,48126,2,2,2026-04-02,105,Unknown
Michigan Chiropractic Specialists,Chiropractic,T1,Jasmine,Other/Metro,Garden City,Michigan,48135,2,10,2026-03-23,115,Unknown
Michigan Complete Chiropractic & Wellness,Chiropractic,T1,Jasmine,Other/Metro,,Michigan,48187,2,2,2026-04-30,77,Unknown
MIND - Dearborn,Pain Management,T1,Jasmine,Other/Metro,Dearborn Heights,Michigan,48127,2,8,2026-03-25,113,Unknown
PRIME CARE MEDICAL CLINIC,Spine,T1,Jasmine,Livonia,Dearborn,Michigan,48126,2,8,2026-04-30,77,Unknown
