Company,MMC Company ID,Current PL,Owner Name,MMC Groups,Referral Evidence Band,Match Status,Match Method(s),Matched Referral Source(s),Matched Source Rows,2026 Spine Patients,2026 Ortho Patients,2026 Other Patients,2026 Total B2B Patients,First B2B Appointment,Last B2B Appointment,Last Spine Appointment,Prior Visit Before Reference Patient,Latest Visit-to-First-Appt Lag Days,Median Visit-to-First-Appt Lag,Patients 0–30 Days,Patients 31–60 Days,Patients 61–90 Days,Patients 91+ Days,Patients Without Prior MMC Visit,Referral Production Points,Referral Data Cutoff
Physician HeathCare Network - Michele Raymond DO,6904e522-5104-4c29-ae02-e787473b0edf,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Raymond DO, Michele L; Sabala NP, Danielle",3,0,3,0,3,2026-01-08 00:00:00,2026-04-16 00:00:00,,2026-04-07 00:00:00,9,21,2,1,0,0,0,42,2026-07-10 00:00:00
Silver Pine Medical Group - Sterling Heights,cac69af6-f814-4339-a4f4-d8cd7112ec3c,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Hichme MD, Jennifer L; Thibault MD, Steven J",3,0,2,1,3,2026-01-16 00:00:00,2026-05-05 00:00:00,,2026-04-03 00:00:00,32,32,1,1,1,0,0,42,2026-07-10 00:00:00
Sterling Heights Urgent Care,719fbbb9-0131-4ed6-bfd7-14646d9c41fb,Sean,Sean Sweeney,Urgent care,Ortho Referrer,Deterministically matched,Exact company name,Sterling Heights Urgent Care,3,0,2,1,3,2026-02-17 00:00:00,2026-04-17 00:00:00,,2026-04-17 00:00:00,0,25,2,1,0,0,0,42,2026-07-10 00:00:00
Trinity IHA Primary Care - Schoolcraft Campus,4b1cacba-85fb-4f63-8660-c3314cf72677,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Klink DO, Michelle; Shih DO, Jenny",3,0,3,0,3,2026-01-06 00:00:00,2026-06-29 00:00:00,,2026-04-24 00:00:00,66,56,1,1,1,0,0,42,2026-07-10 00:00:00
Blue Water Internal Medicine PC,a086480a-231f-4bcb-9889-891475aa37b8,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Daher MD, Emad",2,0,2,0,2,2026-02-04 00:00:00,2026-03-03 00:00:00,,2026-01-29 00:00:00,33,19.5,1,1,0,0,0,42,2026-07-10 00:00:00
BN Nandish MD,4dee089f-61d1-4d13-9fca-62b8d8ffc312,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Nandish MD, Banathally N",2,0,2,0,2,2026-03-06 00:00:00,2026-04-03 00:00:00,,2026-03-03 00:00:00,31,17,1,1,0,0,0,42,2026-07-10 00:00:00
Corewell Urgent Care - Allen Park,5090dcdb-4928-46db-ad3f-6b5e013d2d53,Kristen,Kristen Jones,Urgent Cares,Ortho Referrer,Deterministically matched,Exact company name,COREWELL UC ALLEN PARK; Corewell Urgent Care Allen Park,2,0,2,0,2,2026-04-28 00:00:00,2026-05-26 00:00:00,,2026-05-01 00:00:00,25,54.5,1,0,1,0,0,42,2026-07-10 00:00:00
Downriver Internists,1992798961,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Gatla MD, Srinivas",2,0,2,0,2,2026-05-11 00:00:00,2026-05-14 00:00:00,,2026-04-22 00:00:00,22,20.5,2,0,0,0,0,42,2026-07-10 00:00:00
Dr. Carley and Associates,045c37c9-22cf-4959-b217-ecbbf986a60c,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Stromberg MD, Reid",2,0,2,0,2,2026-05-11 00:00:00,2026-05-14 00:00:00,,2026-05-05 00:00:00,9,7.5,2,0,0,0,0,42,2026-07-10 00:00:00
"FAMILY MEDICINE, PC",e81bc37f-2055-4c48-8e89-e2bca87d2f73,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Tobar DO, Rodrigo",2,0,2,0,2,2026-01-06 00:00:00,2026-05-08 00:00:00,,2026-03-04 00:00:00,65,40,1,0,1,0,0,42,2026-07-10 00:00:00
Grosse Pointe Physicians and Surgeons,8c2316fd-41e0-4fe5-b02a-8a481768ec08,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"KOTSIS DO, ANDREW",2,0,2,0,2,2026-02-10 00:00:00,2026-04-08 00:00:00,,2026-01-28 00:00:00,70,41.5,1,0,1,0,0,42,2026-07-10 00:00:00
Henry Ford Internal & Family Medicine - Farmington Hills -170,4854db87-cb06-45bd-9c8a-7a3e77cfa827,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Elyas MD, Nahid",2,0,2,0,2,2026-02-26 00:00:00,2026-04-16 00:00:00,,2026-02-16 00:00:00,59,34.5,1,1,0,0,0,42,2026-07-10 00:00:00
"IHA, Primary Care - Cherry Hill Village",88f17311-2f10-4d7d-b250-085575fb31c1,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Parrinello, Frank; YEE MD, KRISTEN ALEXIS",2,0,2,0,2,2026-04-07 00:00:00,2026-04-23 00:00:00,,2026-03-12 00:00:00,42,34,1,1,0,0,0,42,2026-07-10 00:00:00
Internal Medicine Associates Port Huron,8afa43db-e543-40bf-9328-2479a24606d8,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Hajjar MD, Riad Robert; Saeed, Sajjad",2,0,2,0,2,2026-01-08 00:00:00,2026-05-06 00:00:00,,2026-05-05 00:00:00,1,18,1,1,0,0,0,42,2026-07-10 00:00:00
iTest Health Family Medicine,2217eb9b-1f7c-434b-9c5f-77ebd185fb7c,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Bartell MD, Stacey",2,0,2,0,2,2026-04-10 00:00:00,2026-05-21 00:00:00,,2026-04-24 00:00:00,27,50,1,0,1,0,0,42,2026-07-10 00:00:00
Ivy Rehab - Novi,df60078e-201f-47fc-b9e3-dea78ab7c916,Kristen,Kristen Jones,Physical Therapy,Ortho Referrer,Deterministically matched,Exact provider name,"Jesser DPT, Emily; Jesser, Emily DPT",2,0,2,0,2,2026-06-12 00:00:00,2026-07-10 00:00:00,,2026-06-01 00:00:00,39,25,1,1,0,0,0,42,2026-07-10 00:00:00
Levan Internists,1972528818,Coty,Coty Oetjens,Internal Medicine/PCP;Nephrology,Ortho Referrer,Deterministically matched,Exact provider name,"Viswanath MD, Talanki",2,0,2,0,2,2026-04-01 00:00:00,2026-04-30 00:00:00,,2026-03-11 00:00:00,50,35.5,1,1,0,0,0,42,2026-07-10 00:00:00
Marko Law,7adfcce2-7d98-4f4d-aaa5-95eb30889397,Kristen,Kristen Jones,Attorney,Ortho Referrer,Deterministically matched,Exact company name,Marko Law,2,0,2,0,2,2026-05-15 00:00:00,2026-05-21 00:00:00,,2026-03-26 00:00:00,56,53,0,2,0,0,0,42,2026-07-10 00:00:00
MD VIP - Trenton,0e7f5d40-b8a0-4524-96a4-2229c7d1e5e7,Jasmine,Jasmine Jones,Concierge Physicians;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Exact provider name + referral PL owner,"Bauer MD, Michelle; Fretz DO, Jennifer",2,0,2,0,2,2026-02-23 00:00:00,2026-06-26 00:00:00,,2026-03-17 00:00:00,101,69.5,0,1,0,1,0,42,2026-07-10 00:00:00
MDVip - Southfield,795ab9a0-8c97-4995-83b6-2fe8b10fcf2a,Kristen,Kristen Jones,Concierge Physicians,Ortho Referrer,Deterministically matched,Unique provider first + last,"Lerner DO, Sandra S",2,0,2,0,2,2026-02-23 00:00:00,2026-05-04 00:00:00,,2026-03-04 00:00:00,61,62,0,0,2,0,0,42,2026-07-10 00:00:00
MICHIGAN PREMIER INTERNISTS,8d7b190e-e89f-4b22-b037-7042bcdd7579,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Ostro Brown MD, Helen; Ostro-Brown MD, Helen",2,0,2,0,2,2026-01-21 00:00:00,2026-06-10 00:00:00,,2026-05-21 00:00:00,20,27.5,1,1,0,0,0,42,2026-07-10 00:00:00
Office of Robert Vartabedian MD,a3906606-5f95-4b86-b5ca-235186bdde34,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Vartabedian MD, Robert",2,0,2,0,2,2026-06-08 00:00:00,2026-06-19 00:00:00,,2026-04-14 00:00:00,66,60.5,0,1,1,0,0,42,2026-07-10 00:00:00
Physician HealthCare Network,1134195258,Kristen,Kristen Jones,Kristen Strategic Account;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Cavataio MD, Pietro; Colombo, Antonio",2,0,2,0,2,2026-03-17 00:00:00,2026-04-21 00:00:00,,2026-03-23 00:00:00,29,41,1,1,0,0,0,42,2026-07-10 00:00:00
Pioneer Medical Associates - Warren,1750481842,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Koneru, Srinivas; Marcotte, Robert",2,0,2,0,2,2026-01-13 00:00:00,2026-03-18 00:00:00,,2026-02-04 00:00:00,42,31,1,1,0,0,0,42,2026-07-10 00:00:00
Progressive Health Care,1790797207,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Haroutunian DO, Michael",2,0,2,0,2,2026-05-01 00:00:00,2026-05-14 00:00:00,,2026-04-21 00:00:00,23,16.5,2,0,0,0,0,42,2026-07-10 00:00:00
Pryde Athletics and Physical Therapy,70091951-e0bd-42eb-9eb7-c5be5ce88649,Kristen,Kristen Jones,Kristen Strategic Account;Physical Therapy;Sports Facilities,Ortho Referrer,Deterministically matched,Unique provider first + last,"Martenka DPT, Joe Pryde Athletics; Pickworth DPT, Amanda - Pryde Athletics",2,0,2,0,2,2026-02-17 00:00:00,2026-03-26 00:00:00,,2026-03-10 00:00:00,16,40,1,0,1,0,0,42,2026-07-10 00:00:00
Roseville Family Practice,c96dc780-a933-4f9f-aaa3-e1da22d0f35e,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Holowinski MD, Mark",2,0,2,0,2,2026-01-29 00:00:00,2026-02-02 00:00:00,,2026-01-14 00:00:00,19,17,2,0,0,0,0,42,2026-07-10 00:00:00
Sterling Family Medicine,1598941148,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Bolukh MD, Oleh",2,0,2,0,2,2026-01-16 00:00:00,2026-05-13 00:00:00,,2026-04-29 00:00:00,14,36.5,1,1,0,0,0,42,2026-07-10 00:00:00
Superior Family Medicine - Health Venters Detroit -use this onea,49af378b-9c15-4649-815d-958a79af2f84,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Haney DO, James",2,0,2,0,2,2026-04-15 00:00:00,2026-07-09 00:00:00,,2026-05-28 00:00:00,42,41.5,0,2,0,0,0,42,2026-07-10 00:00:00
Wadhams Family Care,16b28f94-4956-4a84-8936-0ae7dbe24994,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"James DO, Gary",2,0,2,0,2,2026-04-02 00:00:00,2026-05-28 00:00:00,,2026-05-05 00:00:00,23,29,1,1,0,0,0,42,2026-07-10 00:00:00
Western Wayne Physicians - Livonia,c6f8c7f7-2386-4788-9102-c4f9ebda94b8,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Schmidt MD, Tamara",2,0,2,0,2,2026-03-06 00:00:00,2026-03-30 00:00:00,,2026-03-03 00:00:00,27,15,2,0,0,0,0,42,2026-07-10 00:00:00
Premier Internists - Suite 180,23ff4711-fcf4-4eb3-bd86-aa07b5332791,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Ilayan, Samer A; Kizy MD, Michael; Lipson MD, Peter",5,0,1,4,5,2026-02-03 00:00:00,2026-07-07 00:00:00,,2026-05-08 00:00:00,60,60,1,2,2,0,0,37,2026-07-10 00:00:00
Cornerstone Garfield Family Practice - Ascension,67778aa6-f0ab-4aac-80f9-0de0c25b2ac8,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Gleesing DO, Ryan; VENDITTELLI MD, CARLISLE",3,0,1,2,3,2026-02-17 00:00:00,2026-07-06 00:00:00,,2026-06-16 00:00:00,20,4,3,0,0,0,0,37,2026-07-10 00:00:00
Legend Health - Now One Health,078d2fa6-e81c-41d1-95f2-04234d511192,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"BRIETZKE, THERESA; Williams MD, David; Williams, David",3,0,1,2,3,2026-02-17 00:00:00,2026-06-16 00:00:00,,2026-05-27 00:00:00,20,57,1,1,1,0,0,37,2026-07-10 00:00:00
Village Medical - Novi,60ca59a0-452f-4fea-8aff-cf4ef63862b7,Jasmine,Jasmine Jones,Pain;Internal Medicine/PCP;Pediatrician,Ortho Referrer,Deterministically matched,Exact provider name,"Golden MD, James; Rosenberg MD, Daniel",3,0,1,2,3,2026-01-26 00:00:00,2026-05-07 00:00:00,,2026-04-01 00:00:00,36,18,2,1,0,0,0,37,2026-07-10 00:00:00
ALLEN PARK FAMILY PHYSICIANS,617ab041-696a-4d5d-92bd-eb43c5eb4276,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"Vandehey DO, Patrick R; Vandehey, Patrick",2,0,1,1,2,2026-01-13 00:00:00,2026-03-13 00:00:00,,2026-02-03 00:00:00,38,46,0,2,0,0,0,37,2026-07-10 00:00:00
Alliance - Macomb,cfa43a87-0a00-4e16-8816-57177ce29fb3,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Savalli DO, Michael; Toomajian DO, Leo",2,0,1,1,2,2026-05-04 00:00:00,2026-07-09 00:00:00,,2026-07-07 00:00:00,2,4.5,2,0,0,0,0,37,2026-07-10 00:00:00
Beaumont Associated Family Care - Warren,81c6691d-f02d-49d9-940d-49ca3462c7fa,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name; Unique provider first + last,"PEERA, AVA (ZOC DOC); Peera, Ava",2,0,1,1,2,2026-04-30 00:00:00,2026-06-22 00:00:00,,2026-04-24 00:00:00,59,32.5,1,1,0,0,0,37,2026-07-10 00:00:00
Bully Family Physicians,1841257029,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Bully MD, Tammie",2,0,1,1,2,2026-03-12 00:00:00,2026-06-15 00:00:00,,2026-05-27 00:00:00,19,13.5,2,0,0,0,0,37,2026-07-10 00:00:00
Dedicated Senior Medical Center - Eastpointe,461fe196-5467-4d92-bec8-0125858453c8,Jasmine,Jasmine Jones,Internal Medicine/PCP;Geriatrics,Ortho Referrer,Deterministically matched,Exact provider name,"Patel MD, Poonam",2,0,1,1,2,2026-03-24 00:00:00,2026-05-12 00:00:00,,2026-05-12 00:00:00,0,0.5,2,0,0,0,0,37,2026-07-10 00:00:00
Millennium Affiliated Physicians - 130B,27e5353b-7c0d-406b-be13-0d0eb3c3e200,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Trivax MD, Geoffrey; White MD, Michael",2,0,1,1,2,2026-01-29 00:00:00,2026-04-08 00:00:00,,2026-02-16 00:00:00,51,54.5,0,2,0,0,0,37,2026-07-10 00:00:00
Oakland Internal Medicine Associates - Henry Ford,1053422006,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Bassily DO, Tiffany Lynn; Learner DO, James M",2,0,1,1,2,2026-02-04 00:00:00,2026-04-23 00:00:00,,2026-03-11 00:00:00,43,45,0,2,0,0,0,37,2026-07-10 00:00:00
Prism Medical Group - Family Medicine Ste 240,b95fc8ff-585a-4d2e-9aae-c2ea0fd1b50c,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Geevarghese MD, Roby J; Ortwine MD, Kelly Z",2,0,1,1,2,2026-01-21 00:00:00,2026-05-05 00:00:00,,2025-10-22 00:00:00,195,143,0,0,0,2,0,37,2026-07-10 00:00:00
Troy Health Center,c80937d7-1504-43ae-af51-bb0f13603168,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Lauder MD, Nehman; XU MD, JINPING",2,0,1,1,2,2026-02-02 00:00:00,2026-03-27 00:00:00,,2026-03-05 00:00:00,22,65.5,1,0,0,1,0,37,2026-07-10 00:00:00
Village Medical Wayne,7e594070-5f19-4b0e-982f-f339ee92109c,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Brock DO, Robert Coleman",2,0,1,1,2,2026-02-17 00:00:00,2026-03-30 00:00:00,,2026-02-12 00:00:00,46,25.5,1,1,0,0,0,37,2026-07-10 00:00:00
"WEST BLOOMFIELD INTERNAL MEDICINE, PLLC",edf56788-9b9d-4f4d-a93a-59a09f7cb794,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Bragman DO, James",2,0,1,1,2,2026-02-11 00:00:00,2026-03-27 00:00:00,,2026-02-12 00:00:00,43,53.5,0,1,1,0,0,37,2026-07-10 00:00:00
ACADEMIC INTERNAL MEDICINE SPECIALISTS,24230075-46f5-44cf-bd8f-deb5f276aa99,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Williams MD, Michael A",1,0,1,0,1,2026-03-10 00:00:00,2026-03-10 00:00:00,,2026-03-03 00:00:00,7,7,1,0,0,0,0,37,2026-07-10 00:00:00
Allied Internists,1063423176,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Ishaqsei MD, Wahed",1,0,1,0,1,2026-02-05 00:00:00,2026-02-05 00:00:00,,2025-12-15 00:00:00,52,52,0,1,0,0,0,37,2026-07-10 00:00:00
APH - Pavillion IM Use this one,2042f8c4-062b-497d-93cd-a5501bc57707,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Huber MD, Yosef Yitzchok",1,0,1,0,1,2026-04-20 00:00:00,2026-04-20 00:00:00,,2026-03-05 00:00:00,46,46,0,1,0,0,0,37,2026-07-10 00:00:00
Aquino Integrative Internal Medicine,1780671461,Sean,Sean Sweeney,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Aquino DO, Robert",1,0,1,0,1,2026-03-30 00:00:00,2026-03-30 00:00:00,,2026-03-12 00:00:00,18,18,1,0,0,0,0,37,2026-07-10 00:00:00
Associated Orthopedists of Detroit-Shelby Township,59a078a4-145e-43bb-8052-a1ff32814d1e,Coty,Coty Oetjens,Orthopedic Surgery,Ortho Referrer,Deterministically matched,Unique provider first + last,"Ajluni DO, Andrew Farris",1,0,1,0,1,2026-05-21 00:00:00,2026-05-21 00:00:00,,2026-03-12 00:00:00,70,70,0,0,1,0,0,37,2026-07-10 00:00:00
"BADHWAR ASSOCIATES, MD, PC",930e15d8-29b2-49a1-be3d-7eae0da7dc41,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Badhwar MD, Avlokita",1,0,1,0,1,2026-05-13 00:00:00,2026-05-13 00:00:00,,2026-01-26 00:00:00,107,107,0,0,0,1,0,37,2026-07-10 00:00:00
Barclay Internists,1528076619,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Meri MD, Abdel Wahab",1,0,1,0,1,2026-01-06 00:00:00,2026-01-06 00:00:00,,2025-10-10 00:00:00,88,88,0,0,1,0,0,37,2026-07-10 00:00:00
BASEL BRIKHO MEDICAL GROUP - use this one,7f38b648-2666-44e3-ad8a-135b873364c5,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Jamil MD MPH, Mada H",1,0,1,0,1,2026-06-24 00:00:00,2026-06-24 00:00:00,,2026-06-05 00:00:00,19,19,1,0,0,0,0,37,2026-07-10 00:00:00
Belamedica,b0dd30c7-d622-45a0-afcc-00519e73eca3,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Mishulin MD, Svetlana",1,0,1,0,1,2026-06-22 00:00:00,2026-06-22 00:00:00,,2025-05-13 00:00:00,405,405,0,0,0,1,0,37,2026-07-10 00:00:00
Beverly Hills Internal Medicine,04-330-7414,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Shishu MD, Nidhi",1,0,1,0,1,2026-02-24 00:00:00,2026-02-24 00:00:00,,2026-01-30 00:00:00,25,25,1,0,0,0,0,37,2026-07-10 00:00:00
Blue Water Urgent Care - Port Huron,97837698-b314-4e35-a9af-a63d6305dc5b,Kristen,Kristen Jones,Urgent Cares,Ortho Referrer,Deterministically matched,Exact company name,Blue Water Urgent Care Port Huron,1,0,1,0,1,2026-03-19 00:00:00,2026-03-19 00:00:00,,2026-02-05 00:00:00,42,42,0,1,0,0,0,37,2026-07-10 00:00:00
CANTON FOOT & Ankle SPECIALISTS,13dc6a74-7486-4022-8993-7eaf6b95734e,Jasmine,Jasmine Jones,Podiatrist,Ortho Referrer,Deterministically matched,Exact provider name,"SEMMA, BRANDON",1,0,1,0,1,2026-01-20 00:00:00,2026-01-20 00:00:00,,2026-01-15 00:00:00,5,5,1,0,0,0,0,37,2026-07-10 00:00:00
Care Medical Clinic of Canton,1356380513,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Debrincat, Paul G",1,0,1,0,1,2026-05-08 00:00:00,2026-05-08 00:00:00,,2026-03-16 00:00:00,53,53,0,1,0,0,0,37,2026-07-10 00:00:00
CENTER FOR INTERNAL MEDICINE CONTINUITY CLINIC,ce969d89-5e72-4361-9024-039ad31f5bc3,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Nguyen DO, Hao",1,0,1,0,1,2026-01-13 00:00:00,2026-01-13 00:00:00,,2025-12-15 00:00:00,29,29,1,0,0,0,0,37,2026-07-10 00:00:00
"CHARLES G GODOSHIAN, MD, PC",1a773df8-9f15-454d-a12a-8fd6751d4903,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Godoshian MD, Charles G",1,0,1,0,1,2026-06-05 00:00:00,2026-06-05 00:00:00,,2026-05-28 00:00:00,8,8,1,0,0,0,0,37,2026-07-10 00:00:00
City Medical - Southgate,1326021262,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Omar PA-C, Nabeel",1,0,1,0,1,2026-05-08 00:00:00,2026-05-08 00:00:00,,2026-04-22 00:00:00,16,16,1,0,0,0,0,37,2026-07-10 00:00:00
Clarkston Medical Group,24639120-4fbe-4135-8d9e-1409bb0fd8cb,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Moscovic DO, Dean",1,0,1,0,1,2026-04-17 00:00:00,2026-04-17 00:00:00,,2026-03-02 00:00:00,46,46,0,1,0,0,0,37,2026-07-10 00:00:00
Clarkston Medical Group Adult & Pediatric Medicine,b24ac823-2845-4622-ad3b-eb46f7171bbb,Coty,Coty Oetjens,Coty;Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"French DO, Katherine Zwark",1,0,1,0,1,2026-03-04 00:00:00,2026-03-04 00:00:00,,2026-03-02 00:00:00,2,2,1,0,0,0,0,37,2026-07-10 00:00:00
Corewell Health Family Medicine -SAINT CLAIR SHORES,a7f38558-5076-4a5b-9bd2-68b110ff29c1,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Unique provider first + last,"Shah MD, Sheena P",1,0,1,0,1,2026-06-15 00:00:00,2026-06-15 00:00:00,,2026-04-27 00:00:00,49,49,0,1,0,0,0,37,2026-07-10 00:00:00
Corewell Health Medical Group East,94e41be8-c824-4bbd-8119-47ffbb084071,Coty,Coty Oetjens,Internal Medicine/PCP;PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Jain MD, Deepali",1,0,1,0,1,2026-03-04 00:00:00,2026-03-04 00:00:00,,2026-02-16 00:00:00,16,16,1,0,0,0,0,37,2026-07-10 00:00:00
Corewell Internal Medicine Midway,2ce334a8-959e-4c7d-9b94-f3d5cb4183a3,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Rastogi MD, Shailaja",1,0,1,0,1,2026-05-14 00:00:00,2026-05-14 00:00:00,,2026-04-24 00:00:00,20,20,1,0,0,0,0,37,2026-07-10 00:00:00
Corondan Medical,1376594887,Coty,Coty Oetjens,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Corondan MD, Victor",1,0,1,0,1,2026-04-01 00:00:00,2026-04-01 00:00:00,,2026-03-27 00:00:00,5,5,1,0,0,0,0,37,2026-07-10 00:00:00
Corwell internal medicine and primary care,3a2a1db5-c1c4-41cd-a7f3-b4e0b388e268,Jasmine,Jasmine Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"VAYNTRUB MD, ELAINA",1,0,1,0,1,2026-06-08 00:00:00,2026-06-08 00:00:00,,,,,0,0,0,0,1,37,2026-07-10 00:00:00
Croswell Clinic - McKenzie Health System,2ac1e0f1-866e-4ffa-a132-1099d6d87433,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Gormley MD, Matthew",1,0,1,0,1,2026-03-31 00:00:00,2026-03-31 00:00:00,,2026-03-19 00:00:00,12,12,1,0,0,0,0,37,2026-07-10 00:00:00
David S Weingarden MD & Associates,ec2dcadc-ce63-4324-aea0-52ae2b2bdd91,Sean,Sean Sweeney,Neurology;Physiatry;Pain Management,Ortho Referrer,Deterministically matched,Exact provider name,"Davis MD, David",1,0,1,0,1,2026-05-29 00:00:00,2026-05-29 00:00:00,,2026-03-26 00:00:00,64,64,0,0,1,0,0,37,2026-07-10 00:00:00
DR TODD PEDIATRICS,4766540b-1aad-4d5c-979d-7adc928bfb0e,Kristen,Kristen Jones,DO NOT CALL,Ortho Referrer,Deterministically matched,Unique provider first + last,"Marcus DO, Todd S",1,0,1,0,1,2026-05-15 00:00:00,2026-05-15 00:00:00,,2025-02-26 00:00:00,443,443,0,0,0,1,0,37,2026-07-10 00:00:00
Dr. Robin’s Heath and Wellness Center,31a45584-b284-4569-b97c-27016e2c1362,Kristen,Kristen Jones,Internal Medicine/PCP,Ortho Referrer,Deterministically matched,Exact provider name,"Lipski DO, Robin L",1,0,1,0,1,2026-06-02 00:00:00,2026-06-02 00:00:00,,2026-04-24 00:00:00,39,39,0,1,0,0,0,37,2026-07-10 00:00:00
