source,proposed_target,source_http,source_redirects_to_now,category,action_target,confidence,note
/specialties/locations/livonia-orthopedics/insurance-plans/,/specialties/orthopedic-services/livonia/,404,,to do — dead URL,/specialty/orthopedic-services/livonia/,Review,resolved through site redirect
/specialties/locations/warren-orthopedics/,/specialty/orthopedic-services/,301,/specialty/locations/warren-orthopedics/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,manual fix (proposed target dead)
/specialties/locations/warren-orthopedics/contact-us/,/specialty/orthopedic-services/,404,,to do — dead URL,/specialty/orthopedic-services/,Review,manual fix (proposed target dead)
/specialties/locations/warren-orthopedics/insurance-plans/,/specialty/orthopedic-services/,404,,to do — dead URL,/specialty/orthopedic-services/,Review,manual fix (proposed target dead)
/specialties/occupational-therapy/skilled-manual-therapy/,/specialty/occupational-therapy/,301,/specialty/occupational-therapy/skilled-manual-therapy/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/pain-management/non-opioid-surgery/,/specialties/pain-management/,301,/specialty/pain-management/non-opioid-surgery/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,resolved through site redirect
/specialties/physical-therapy/muscle-joint-pain/,/specialty/physical-therapy/,301,/specialty/physical-therapy/muscle-joint-pain/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/physicians/,/providers/,301,/specialty/physicians/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/rheumatology/,/providers/,301,/specialty/rheumatology/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/specialties/back-neck-spine/,/specialty/spine-neck-back/,301,/specialty/specialties/back-neck-spine/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/specialties/orthopedics-sports-medicine-2/,/specialty/orthopedic-services/,301,/specialty/specialties/orthopedics-sports-medicine-2/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/specialties/orthopedics-sports-medicine/,/specialty/orthopedic-services/,301,/specialty/specialties/orthopedics-sports-medicine/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/spine-back-and-neck-old/lumbar-stenosis/,/conditions/lumbar-stenosis/,301,/specialty/spine-back-and-neck-old/lumbar-stenosis/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/spine-back-and-neck/anterior-cervical-disc-replacement/,/treatment/disc-replacement-surgery/,301,/specialty/spine-back-and-neck/anterior-cervical-disc-replacement/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/spine-back-and-neck/anterior-lumbar-interbody-fusion/,/treatment/lumbar-cervical-fusion/,301,/specialty/spine-back-and-neck/anterior-lumbar-interbody-fusion/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/spine-back-and-neck/laminoplasty/,/specialties/spine-back-and-neck/cervical-laminectomy/,301,/specialty/spine-back-and-neck/laminoplasty/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,resolved through site redirect
/specialties/spine-back-and-neck/spinal-deformity-surgery/,/specialties/spine-back-and-neck/minimally-invasive-spine-surgery/,301,/specialty/spine-back-and-neck/spinal-deformity-surgery/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,manual fix (proposed target dead)
/specialties/spine-back-and-neck/spinal-fusion/,/treatment/lumbar-cervical-fusion/,301,/specialty/spine-back-and-neck/spinal-fusion/ [UNCRAWLED],"already redirected — target outside crawl, spot-check",,Review,
/specialties/synergy-health-partners-orthopedic-urgent-care-livonia/,/orthopedic-urgent-care/,301,/specialty/synergy-health-partners-orthopedic-urgent-care-livonia/ [404],broken redirect — re-point,/specialty/orthopedic-services/,Review,resolved through site redirect
/specialty/synergy-health-partners-orthopedic-urgent-care-livonia/,/orthopedic-urgent-care/,404,,to do — dead URL,/specialty/orthopedic-services/,Review,resolved through site redirect
/our-providers/,/providers/,301,/providers/ [200],done,/providers/,High,
/conditions-we-treat/,/conditions/,301,/conditions/ [200],done,/conditions/,Review,
/specialty/,/specialties/,200,,"done — reversed: site kept source as canonical, proposed target redirects to it",,Review,
/treatment-type/non-surgical/,/treatment/,200,,to do — live duplicate,/treatment/,Review,
/treatment-type/surgical/,/treatment/,200,,to do — live duplicate,/treatment/,Review,
/conditions-we-treat/facial-pain/,,404,,"NEW — 404 found by crawl, not in original map",/treatment/pain-management/,Review,removed cwt hub; pain mgmt is topical home
/conditions-we-treat/headaches-migraines/,,404,,"NEW — 404 found by crawl, not in original map",/treatment/pain-management/,Review,removed cwt hub
/conditions-we-treat/neuralgia/,,404,,"NEW — 404 found by crawl, not in original map",/treatment/pain-management/,Review,removed cwt hub
/conditions-we-treat/head-neck-2/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/spine-neck-back/,Review,legacy oddity
/conditions-we-treat/joint-preservation-reconstruction/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/orthopedic-services/,Review,removed cwt hub
/conditions-we-treat/sports-injuries/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/sports-medicine/,High,removed cwt hub; sports line landing
/conditions-we-treat/total-joint-care/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/orthopedic-services/,High,removed cwt hub
/conditions-we-treat/total-joint-replacement-hip-knee-shoulder/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/orthopedic-services/,High,removed cwt hub
/conditions-we-treat/spine-neck-back-conditions/adolescent-scoliosis/,,404,,"NEW — 404 found by crawl, not in original map",/conditions/scoliosis/,High,live scoliosis condition page
/conditions-we-treat/spine-neck-back-conditions/spinal-pain/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/spine-neck-back/,High,spine line landing
/free-webinar-chronic-lower-back-lower-extremity-pain/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/spine-neck-back/,Review,legacy event page
/herniated-disc-microdiscectomy/,,404,,"NEW — 404 found by crawl, not in original map",/treatment/microdiscectomy/,High,live microdiscectomy page
/locations/clinic-locations/southfield/spine-neck/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/spine-neck-back/southfield/,High,live Southfield spine landing
/providers/pain-management/eduardo-icaza-md/,,404,,"NEW — 404 found by crawl, not in original map",/providers/specialty/pain-management/,High,departed pain provider
/providers/physician-assistant/,,404,,"NEW — 404 found by crawl, not in original map",/providers/,High,PA directory removed
/providers/rachel-gracz-pt-ot-manager/,,404,,"NEW — 404 found by crawl, not in original map",/providers/,High,departed staff profile
/specialties/locations/livonia-orthopedics/directions/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/orthopedic-services/livonia/,High,legacy location child
/conditions-we-treat/foot-ankle-conditions/ankle-sprain/,,404,,"NEW — 404 found by crawl, not in original map",/specialty/foot-ankle-specialists/,High,was itself a proposed target in v1; dead in crawl
